TDLinx,Chain,Cluster,ACV,Currentpop,CurrentHouseholds,MedianHHincome,MedianYrsSchool,College_4YrsPctPen,College_Less_4YrsPctPen,HighSchoolGradPctPen,HighSchoolNoDiplomaPctPen,_to8YrsElemSchoolPctPen,WhiteCollarPctPen,AllServicePctPen,BlueCollarPctPen,Farm_Forest_FishPctPen,MedianHomeValue,MedianAgeTotalPop,WhitePopPctPen,BlackPopPctPen,Asian_PacificIslanderPopPctPen,PopOtherThanBlack_WhitePctPen,HispanicAncestryPctPen,Address,CityState,Zip,Groc_Count,Groc_Miles,Mass_Count,Mass_Miles,CSD_Volume_Sales,CSD_Volume_per__MM_ACV,CSD_Price,Corp_Pep_Volume_Sales,Corp_Pep_Volume_per__MM_ACV,Corp_Pep_Price,Corp_Coke_Volume_Sales,Corp_Coke_Volume_per__MM_ACV,Corp_Coke_Price,ZIP5,PRIZM_CODE,Prizm_Cluster,C1,C2,C3,S2,S3,S4,T1,T2,T3,T4,U1,U2,U3,lpepvol,lcokvol,lpeppri,lcokpri
261423,TOPS,Small Town Living,26000000,52755,19458,33113,12.8,14.88,21.63,37.92,15.73,9.85,45.53,18.59,31.82,4.06,65039,36,88.23,3.33,0.47,1.07,7.37,3956 VINEYARD DR,DUNKIRK NY,14048,4,1.3824854849,6,0.8958778952,217363.0156,6223.254395,5.00587288,126947.4766,0.2849881701,-1.689444164,27624.21484,-1.588555923,-0.179936573,14048,62,C3,0,0,1,0,0,0,0,0,0,0,0,0,0,8.1966564329,6.6726305251,1.6281593317,1.7673520474
790289,TOPS,Affluent Elite,20800000,44561,16352,71783,14.1,30.92,27.19,28.14,9.37,4.39,66.29,10.64,21.96,1.11,148777,37.3,94.21,1.8,2.69,3.01,0.97,9660 TRANSIT RD,EAST AMHERST NY,14051,9,3.8844822928,6,3.0428337605,184425.5469,6201.171387,5.26609222,81306.24219,-0.228482771,-0.77059641,35015.66406,-0.557199688,-0.770841404,14051,05,T1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9133627688,7.0649477493,1.6840779488,1.7372167193
994711,TOPS,Small Town Living,31200000,35351,13120,62321,13.6,26.07,27.92,30.81,10.76,4.44,61.71,10.69,25.91,1.69,125980,39.7,98.46,0.24,0.53,0.7,0.6,65 GREY ST,EAST AURORA NY,14052,1,0.0408513462,3,0.4096871396,243387.6563,5891.787109,5.42185364,108360.8047,-0.293278361,-0.014742611,40059.04688,-1.103886202,-0.642179283,14052,09,T1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8711574975,6.8761914802,1.7278429125,1.7438560884
994695,TOPS,Small Town Living,20800000,15181,5645,63999,14.1,31.1,29.69,29.29,7.75,2.16,68.19,8.28,23.22,0.31,122577,38.3,95.43,1.84,1.21,1.53,1.21,2140 GRAND ISLAND BLVD,GRAND ISLAND NY,14072,2,4.4045875028,8,3.9667824969,186025.4375,6643.703125,5.369762603,85890.64844,-0.036455791,-0.241179943,28320.91211,-0.984780141,-0.413012243,14072,09,T1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.0288997246,6.9204586119,1.7149316519,1.7555737349
261436,TOPS,Mid Down Suburbs,15600000,34135,13531,44838,12.9,14.5,26.66,35.65,14.8,8.39,57.1,14.69,27.44,0.77,93441,39.1,96.15,0.83,0.54,0.89,2.13,4250 MCKINLEY PKWY,HAMBURG NY,14075,16,3.5414092034,10,3.097713234,198540.4844,8757.21582,5.426852883,105007.6953,0.8575549141,-0.057073627,21023.28125,-1.2182242,-0.672856952,14075,21,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,8.4396767578,6.8317696533,1.7254418694,1.742277022
473090,TOPS,Small Town Living,46800000,48061,17934,58070,13.4,23.16,27.38,32.69,11.86,4.91,62.33,10.69,25.22,1.76,107874,38.8,97.84,0.38,0.52,0.76,1.01,6150 S PARK AVE,HAMBURG NY,14075,7,2.7120438475,5,1.8578714878,395905.5313,6843.492188,5.416998705,193510.5781,0.1179145622,0.0383597101,50445.72656,-1.365858567,-0.695419374,14075,21,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1129792047,6.7713283761,1.7308467819,1.741114077
498433,TOPS,Small Town Living,15600000,51352,19523,41895,12.8,13.34,26.29,36.87,15.4,8.1,45.35,14.78,37.19,2.69,76100,37.1,93.45,3.8,0.53,1.26,1.5,3949 LOCKPORT OLCOTT RD,LOCKPORT NY,14094,3,4.290271536,5,3.6203630851,205683.1406,8707.894531,5.442651967,119824.6563,1.113697217,0.1858586608,18974.57813,-1.553466145,-0.456097685,14094,27,C2,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5318137183,6.6888432559,1.7391434081,1.7533811681
540611,TOPS,Rural America,15600000,33207,11236,36165,12.5,9.42,21.98,39.6,19.43,9.57,40.94,13.36,41.46,4.24,60987,35.6,88.1,6.33,0.45,1.69,3.88,11200 MAPLE RIDGE RD,MEDI0 NY,14103,1,1.7162198173,4,0.5428569109,209872.7969,9832.075195,5.299161642,120471.9453,1.4410678148,-0.177742637,26171.18945,-0.40888121,0.0001599467,14103,42,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.638420203,7.1105590956,1.718565633,1.7763590238
141516,TOPS,Small Town Living,10400000,28620,10153,40867,12.6,12.22,22.43,40.33,15.93,9.09,43.89,15.95,34.77,5.39,69441,36.9,88.91,5.43,0.28,1.92,3.74,HWY 219,SPRINGVILLE NY,14141,1,0.8230437285,2,0.4315950731,108536.3594,8119.671387,5.504932319,54973.30469,0.5597362786,0.6977553043,13720.07813,-0.944015403,0.1669693733,14141,42,T3,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3206468782,6.935170102,1.7674144034,1.7846297325
854117,TOPS,Mid Down Suburbs,20800000,22808,9652,38413,12.8,12.57,24.79,40.69,14.75,7.2,53.39,14.63,31.2,0.78,79562,38.3,96.72,0.86,0.69,1.23,1.19,150 NIAGARA ST,TO0WANDA NY,14150,19,3.3655444827,18,3.2839588917,200054.7344,7867.687988,5.062212115,95014.71875,0.3461139892,-0.943811341,24171.54492,-1.162254014,-1.022792011,14150,49,S4,0,0,0,0,0,1,0,0,0,0,0,0,0,8.22560186,6.8537614224,1.6737729492,1.7240861921
